iter,elapsed_s,best_obj,curr_obj,alpha,selected_orders,gap_abs,gap_pct
233,0.64,26489,24868,0.05,88,690,2.539
234,0.64,26489,25768,0.1,88,690,2.539
235,0.64,26489,25946,0.5,87,690,2.539
236,0.64,26489,25910,0.35,87,690,2.539
237,0.64,26489,24951,0.05,87,690,2.539
238,0.64,26489,24604,0.1,88,690,2.539
239,0.648,26489,24733,0.1,88,690,2.539
240,0.649,26489,24972,0.1,88,690,2.539
241,0.651,26489,25366,0.2,88,690,2.539
242,0.651,26489,24945,0.35,88,690,2.539
243,0.651,26489,24834,0.5,88,690,2.539
244,0.651,26489,24650,0.5,87,690,2.539
245,0.651,26489,24959,0.2,87,690,2.539
246,0.656,26489,25808,0.05,88,690,2.539
247,0.656,26489,24592,0.05,88,690,2.539
248,0.656,26489,24934,0.35,87,690,2.539
249,0.656,26489,25116,0.5,88,690,2.539
250,0.656,26489,25055,0.1,88,690,2.539
251,0.662,26489,25385,0.05,87,690,2.539
252,0.663,26489,24335,0.05,87,690,2.539
253,0.665,26489,25253,0.5,88,690,2.539
254,0.665,26489,25208,0.2,88,690,2.539
255,0.668,26489,25174,0.05,87,690,2.539
256,0.668,26489,25279,0.1,88,690,2.539
257,0.668,26489,24470,0.1,87,690,2.539
258,0.671,26489,24956,0.2,88,690,2.539
259,0.671,26489,25434,0.1,88,690,2.539
260,0.671,26489,25141,0.35,88,690,2.539
261,0.671,26489,24967,0.1,87,690,2.539
262,0.677,26489,26018,0.05,86,690,2.539
263,0.677,26489,25093,0.1,87,690,2.539
264,0.681,26489,25045,0.05,88,690,2.539
265,0.681,26489,25206,0.1,88,690,2.539
266,0.681,26489,25448,0.5,87,690,2.539
267,0.681,26489,25085,0.1,88,690,2.539
268,0.681,26489,24568,0.05,88,690,2.539
269,0.681,26489,25215,0.5,87,690,2.539
270,0.681,26489,25266,0.35,87,690,2.539
271,0.681,26489,25042,0.1,87,690,2.539
272,0.681,26489,25770,0.35,88,690,2.539
273,0.681,26489,24854,0.2,88,690,2.539
274,0.692,26489,24660,0.35,87,690,2.539
275,0.694,26489,25400,0.1,87,690,2.539
276,0.694,26489,24632,0.2,88,690,2.539
277,0.694,26489,26455,0.2,88,690,2.539
278,0.697,26489,24390,0.2,87,690,2.539
279,0.698,26489,25804,0.35,87,690,2.539
280,0.698,26489,24585,0.2,88,690,2.539
281,0.7,26489,24888,0.35,88,690,2.539
282,0.7,26489,24534,0.05,87,690,2.539
283,0.703,26489,25969,0.05,87,690,2.539
284,0.703,26489,24585,0.1,88,690,2.539
285,0.703,26489,24950,0.05,87,690,2.539
286,0.703,26489,25745,0.05,88,690,2.539
287,0.703,26489,25116,0.2,87,690,2.539
288,0.703,26489,24518,0.2,88,690,2.539
289,0.713,26489,24864,0.2,88,690,2.539
290,0.715,26489,24705,0.5,87,690,2.539
291,0.715,26489,24973,0.2,88,690,2.539
292,0.715,26489,25316,0.35,88,690,2.539
293,0.719,26489,24851,0.5,87,690,2.539
294,0.721,26489,24726,0.2,88,690,2.539
295,0.721,26489,25063,0.2,87,690,2.539
296,0.723,26489,24700,0.05,87,690,2.539
297,0.723,26489,24482,0.35,87,690,2.539
298,0.727,26489,25604,0.5,88,690,2.539
299,0.727,26489,24943,0.5,87,690,2.539
300,0.727,26489,25108,0.35,87,690,2.539
301,0.731,26489,26079,0.1,88,690,2.539
302,0.732,26489,25514,0.5,86,690,2.539
303,0.733,26489,25003,0.35,88,690,2.539
304,0.733,26489,25389,0.2,87,690,2.539
305,0.733,26489,24516,0.1,88,690,2.539
306,0.733,26489,26160,0.5,88,690,2.539
307,0.733,26489,25482,0.5,87,690,2.539
308,0.733,26489,25145,0.5,87,690,2.539
309,0.74,26489,24865,0.2,88,690,2.539
310,0.74,26489,24747,0.1,87,690,2.539
311,0.74,26489,26081,0.35,87,690,2.539
312,0.747,26489,25122,0.5,88,690,2.539
313,0.747,26489,25289,0.05,88,690,2.539
314,0.747,26489,24676,0.05,88,690,2.539
315,0.747,26489,25574,0.1,87,690,2.539
316,0.747,26489,24638,0.1,88,690,2.539
317,0.747,26489,25566,0.5,87,690,2.539
318,0.755,26489,24823,0.1,88,690,2.539
319,0.755,26489,24761,0.2,88,690,2.539
320,0.755,26489,24971,0.1,87,690,2.539
321,0.755,26489,24991,0.35,87,690,2.539
322,0.755,26489,25535,0.1,87,690,2.539
323,0.755,26489,24699,0.1,87,690,2.539
324,0.755,26489,24944,0.35,87,690,2.539
325,0.763,26489,25931,0.5,87,690,2.539
326,0.764,26489,24526,0.1,87,690,2.539
327,0.767,26489,25620,0.5,88,690,2.539
328,0.769,26489,25191,0.35,88,690,2.539
329,0.769,26489,25014,0.05,88,690,2.539
330,0.771,26489,24934,0.5,87,690,2.539
331,0.771,26489,25126,0.05,88,690,2.539
332,0.773,26489,25348,0.5,87,690,2.539
333,0.775,26489,25184,0.2,87,690,2.539
334,0.775,26489,25553,0.05,88,690,2.539
335,0.776,26489,25031,0.2,87,690,2.539
336,0.778,26489,26346,0.5,87,690,2.539
337,0.778,26489,25290,0.5,87,690,2.539
338,0.784,26489,25289,0.1,88,690,2.539
339,0.784,26489,25158,0.5,87,690,2.539
340,0.784,26489,25444,0.1,88,690,2.539
341,0.784,26489,25157,0.1,88,690,2.539
342,0.784,26489,25664,0.35,87,690,2.539
343,0.784,26489,24433,0.05,88,690,2.539
344,0.784,26489,25518,0.35,88,690,2.539
345,0.798,26489,24853,0.05,88,690,2.539
346,0.8,26489,24954,0.5,87,690,2.539
347,0.8,26489,24703,0.05,87,690,2.539
348,0.8,26489,25263,0.35,87,690,2.539
349,0.8,26489,25064,0.1,88,690,2.539
350,0.8,26489,24705,0.35,88,690,2.539
351,0.805,26489,25465,0.35,87,690,2.539
352,0.805,26489,25517,0.05,87,690,2.539
353,0.805,26489,24634,0.1,87,690,2.539
354,0.805,26489,25336,0.35,88,690,2.539
355,0.805,26489,25087,0.2,88,690,2.539
356,0.805,26489,25002,0.05,87,690,2.539
357,0.813,26489,24976,0.2,88,690,2.539
358,0.813,26489,24970,0.1,88,690,2.539
359,0.813,26489,24844,0.2,88,690,2.539
360,0.816,26489,25487,0.2,88,690,2.539
361,0.818,26489,25055,0.5,87,690,2.539
362,0.818,26489,25113,0.1,87,690,2.539
363,0.82,26489,26083,0.5,88,690,2.539
364,0.82,26489,25136,0.2,88,690,2.539
365,0.82,26489,25202,0.05,88,690,2.539
366,0.82,26489,24959,0.35,88,690,2.539
367,0.827,26489,25371,0.05,87,690,2.539
368,0.827,26489,25114,0.05,88,690,2.539
369,0.83,26489,24962,0.5,88,690,2.539
370,0.831,26489,24754,0.2,88,690,2.539
371,0.832,26489,25060,0.35,87,690,2.539
372,0.833,26489,25161,0.05,88,690,2.539
373,0.836,26489,26116,0.5,87,690,2.539
374,0.838,26489,26397,0.1,88,690,2.539
375,0.839,26489,24700,0.35,88,690,2.539
376,0.841,26489,25145,0.05,88,690,2.539
377,0.842,26489,25182,0.2,88,690,2.539
378,0.842,26489,25497,0.35,88,690,2.539
379,0.846,26489,25255,0.1,87,690,2.539
380,0.847,26489,24894,0.5,87,690,2.539
