iter,elapsed_s,best_obj,gap_abs,gap_pct,p_alpha_0.05,p_alpha_0.1,p_alpha_0.2,p_alpha_0.35,p_alpha_0.5
142,0.505,26353,826,3.039,0.198952,0.20035,0.198183,0.200394,0.202121
143,0.505,26353,826,3.039,0.199011,0.200113,0.198242,0.200453,0.202181
144,0.505,26353,826,3.039,0.198973,0.200074,0.198204,0.200608,0.202142
145,0.505,26353,826,3.039,0.19896,0.200061,0.198191,0.200594,0.202194
146,0.513,26353,826,3.039,0.198959,0.200061,0.19819,0.200595,0.202194
147,0.515,26353,826,3.039,0.198912,0.200013,0.198382,0.200547,0.202146
148,0.517,26353,826,3.039,0.198909,0.20001,0.198379,0.200559,0.202143
149,0.517,26353,826,3.039,0.198917,0.199977,0.198387,0.200567,0.202151
150,0.517,26489,690,2.539,0.199161,0.199916,0.198327,0.200506,0.20209
151,0.517,26489,690,2.539,0.199146,0.19992,0.198331,0.20051,0.202093
152,0.517,26489,690,2.539,0.199112,0.199885,0.198296,0.200475,0.202233
153,0.517,26489,690,2.539,0.199135,0.199908,0.198319,0.200382,0.202256
154,0.517,26489,690,2.539,0.199143,0.199874,0.198327,0.200391,0.202265
155,0.517,26489,690,2.539,0.199131,0.199923,0.198315,0.200378,0.202252
156,0.53,26489,690,2.539,0.199162,0.199799,0.198346,0.20041,0.202284
157,0.532,26489,690,2.539,0.199174,0.199811,0.198358,0.200422,0.202236
158,0.532,26489,690,2.539,0.199204,0.199841,0.198235,0.200452,0.202267
159,0.532,26489,690,2.539,0.199226,0.199864,0.198258,0.200475,0.202177
160,0.532,26489,690,2.539,0.199179,0.199816,0.19821,0.200665,0.202129
161,0.532,26489,690,2.539,0.199202,0.19984,0.198117,0.200688,0.202153
162,0.532,26489,690,2.539,0.199161,0.199798,0.198285,0.200646,0.20211
163,0.54,26489,690,2.539,0.199156,0.199793,0.198281,0.200642,0.202127
164,0.54,26489,690,2.539,0.19937,0.19974,0.198228,0.200589,0.202073
165,0.54,26489,690,2.539,0.199422,0.199793,0.19828,0.200641,0.201864
166,0.54,26489,690,2.539,0.199452,0.199823,0.19831,0.200671,0.201744
167,0.54,26489,690,2.539,0.19947,0.19984,0.198328,0.2006,0.201762
168,0.547,26489,690,2.539,0.199483,0.199853,0.198276,0.200613,0.201775
169,0.548,26489,690,2.539,0.199513,0.199883,0.198155,0.200643,0.201806
170,0.548,26489,690,2.539,0.199532,0.199902,0.19808,0.200662,0.201825
171,0.55,26489,690,2.539,0.199597,0.199886,0.198064,0.200645,0.201808
172,0.55,26489,690,2.539,0.199619,0.199796,0.198086,0.200668,0.201831
173,0.553,26489,690,2.539,0.199584,0.19976,0.198051,0.200632,0.201974
174,0.553,26489,690,2.539,0.199581,0.199757,0.198062,0.200629,0.201971
175,0.553,26489,690,2.539,0.199583,0.199759,0.198064,0.200631,0.201963
176,0.557,26489,690,2.539,0.199592,0.199757,0.198062,0.200629,0.201961
177,0.557,26489,690,2.539,0.199585,0.199785,0.198055,0.200622,0.201954
178,0.557,26489,690,2.539,0.199626,0.199621,0.198095,0.200663,0.201995
179,0.557,26489,690,2.539,0.199656,0.1995,0.198125,0.200693,0.202025
180,0.566,26489,690,2.539,0.199685,0.199529,0.198154,0.200577,0.202055
181,0.566,26489,690,2.539,0.199708,0.199523,0.198148,0.200571,0.202049
182,0.566,26489,690,2.539,0.199691,0.199506,0.19822,0.200554,0.202031
183,0.57,26489,690,2.539,0.199652,0.199515,0.198229,0.200563,0.20204
184,0.57,26489,690,2.539,0.199649,0.199512,0.198225,0.200578,0.202037
185,0.57,26489,690,2.539,0.199672,0.19942,0.198248,0.200601,0.20206
186,0.57,26489,690,2.539,0.199663,0.199411,0.198284,0.200592,0.202051
187,0.57,26489,690,2.539,0.199665,0.1994,0.198287,0.200594,0.202054
188,0.57,26489,690,2.539,0.199638,0.199373,0.19826,0.200704,0.202026
189,0.57,26489,690,2.539,0.199646,0.199381,0.198268,0.200671,0.202034
190,0.57,26489,690,2.539,0.199623,0.199474,0.198245,0.200648,0.202011
191,0.57,26489,690,2.539,0.199642,0.199396,0.198264,0.200668,0.20203
192,0.58,26489,690,2.539,0.199624,0.199377,0.198246,0.200741,0.202012
193,0.582,26489,690,2.539,0.19963,0.199384,0.198252,0.200747,0.201987
194,0.584,26489,690,2.539,0.199628,0.199381,0.19825,0.200745,0.201997
195,0.584,26489,690,2.539,0.199666,0.19923,0.198287,0.200782,0.202035
196,0.584,26489,690,2.539,0.199765,0.199205,0.198263,0.200758,0.20201
197,0.584,26489,690,2.539,0.199763,0.199204,0.198268,0.200756,0.202008
198,0.584,26489,690,2.539,0.199808,0.199193,0.198257,0.200745,0.201997
199,0.584,26489,690,2.539,0.199874,0.199177,0.19824,0.200728,0.20198
200,0.584,26489,690,2.539,0.199881,0.199183,0.198246,0.200703,0.201987
201,0.584,26489,690,2.539,0.199867,0.199169,0.198232,0.20076,0.201972
202,0.584,26489,690,2.539,0.199881,0.199183,0.198247,0.200701,0.201987
203,0.584,26489,690,2.539,0.199898,0.199116,0.198264,0.200718,0.202004
204,0.584,26489,690,2.539,0.199819,0.199136,0.198283,0.200738,0.202024
205,0.584,26489,690,2.539,0.19979,0.199253,0.198254,0.200708,0.201994
206,0.6,26489,690,2.539,0.199822,0.199285,0.198286,0.200579,0.202027
207,0.6,26489,690,2.539,0.199767,0.199299,0.1983,0.200593,0.202041
208,0.604,26489,690,2.539,0.19974,0.199306,0.198306,0.2006,0.202048
209,0.606,26489,690,2.539,0.199732,0.199297,0.198298,0.200634,0.202039
210,0.606,26489,690,2.539,0.199696,0.199262,0.19844,0.200598,0.202003
211,0.608,26489,690,2.539,0.199725,0.199147,0.198469,0.200627,0.202032
212,0.608,26489,690,2.539,0.199732,0.199155,0.198476,0.200635,0.202002
213,0.61,26489,690,2.539,0.199736,0.199159,0.198461,0.200638,0.202005
214,0.612,26489,690,2.539,0.199718,0.199232,0.198443,0.20062,0.201987
215,0.613,26489,690,2.539,0.199722,0.199237,0.198426,0.200624,0.201991
216,0.614,26489,690,2.539,0.199721,0.199237,0.198426,0.200624,0.201991
217,0.618,26489,690,2.539,0.199706,0.199222,0.198412,0.20061,0.20205
218,0.618,26489,690,2.539,0.199706,0.199221,0.198412,0.20061,0.202051
219,0.618,26489,690,2.539,0.199729,0.199244,0.198435,0.200633,0.201959
220,0.618,26489,690,2.539,0.199719,0.199247,0.198438,0.200636,0.201961
221,0.618,26489,690,2.539,0.199725,0.199253,0.198412,0.200642,0.201968
222,0.618,26489,690,2.539,0.199824,0.199228,0.198387,0.200618,0.201943
223,0.618,26489,690,2.539,0.199783,0.199188,0.198549,0.200577,0.201902
224,0.626,26489,690,2.539,0.199796,0.199201,0.198562,0.20059,0.20185
225,0.627,26489,690,2.539,0.199768,0.199173,0.198535,0.200702,0.201822
226,0.627,26489,690,2.539,0.199769,0.199174,0.198536,0.200703,0.201818
227,0.63,26489,690,2.539,0.199783,0.199187,0.198549,0.20065,0.201832
228,0.631,26489,690,2.539,0.199801,0.199115,0.198567,0.200668,0.20185
229,0.631,26489,690,2.539,0.199788,0.199167,0.198554,0.200655,0.201837
230,0.634,26489,690,2.539,0.199816,0.199195,0.198582,0.200683,0.201724
231,0.635,26489,690,2.539,0.19978,0.199204,0.198591,0.200692,0.201733
232,0.635,26489,690,2.539,0.199803,0.199226,0.1985,0.200715,0.201756
233,0.64,26489,690,2.539,0.199768,0.199235,0.198509,0.200724,0.201765
234,0.64,26489,690,2.539,0.199743,0.199332,0.198485,0.200699,0.20174
235,0.64,26489,690,2.539,0.199725,0.199314,0.198466,0.20068,0.201816
236,0.64,26489,690,2.539,0.199705,0.199294,0.198446,0.20076,0.201795
237,0.64,26489,690,2.539,0.19968,0.1993,0.198452,0.200766,0.201802
238,0.64,26489,690,2.539,0.199698,0.199229,0.19847,0.200784,0.201819
239,0.648,26489,690,2.539,0.199711,0.199178,0.198482,0.200797,0.201832
240,0.649,26489,690,2.539,0.199715,0.199162,0.198486,0.200801,0.201836
241,0.651,26489,690,2.539,0.199702,0.199149,0.198539,0.200787,0.201823
242,0.651,26489,690,2.539,0.199712,0.19916,0.19855,0.200744,0.201834
243,0.651,26489,690,2.539,0.199733,0.19918,0.19857,0.200765,0.201753
244,0.651,26489,690,2.539,0.199758,0.199206,0.198595,0.20079,0.20165
245,0.651,26489,690,2.539,0.19976,0.199208,0.198588,0.200792,0.201652
246,0.656,26489,690,2.539,0.199834,0.199189,0.19857,0.200774,0.201633
247,0.656,26489,690,2.539,0.19977,0.199205,0.198586,0.20079,0.201649
248,0.656,26489,690,2.539,0.199781,0.199216,0.198596,0.200747,0.20166
249,0.656,26489,690,2.539,0.19979,0.199225,0.198605,0.200756,0.201623
250,0.656,26489,690,2.539,0.199791,0.199221,0.198607,0.200757,0.201625
251,0.662,26489,690,2.539,0.199816,0.199215,0.1986,0.200751,0.201618
252,0.663,26489,690,2.539,0.199727,0.199237,0.198622,0.200773,0.201641
253,0.665,26489,690,2.539,0.199731,0.199241,0.198627,0.200778,0.201623
254,0.665,26489,690,2.539,0.199724,0.199234,0.198654,0.200771,0.201616
255,0.668,26489,690,2.539,0.199727,0.199234,0.198654,0.20077,0.201616
256,0.668,26489,690,2.539,0.199721,0.199259,0.198647,0.200764,0.201609
257,0.668,26489,690,2.539,0.199741,0.19918,0.198667,0.200783,0.201629
258,0.671,26489,690,2.539,0.199742,0.199182,0.198659,0.200785,0.201631
